Key,Values
"(1, 0)","[(1, 1, 1), (0, 0, 0, 0)]"
"(2, 0)","[(3, 1, 5), (0, 0, 0, 0)]"
"(1, 1)","[(0, 1, 2), (0, 0, 0, 0)]"
"(2, 2)","[(1, 1, 1), (0, 0, 0, 0)]"
"(9, 2)","[(1, 1, 3), (0, 0, 0, 0)]"
"(10, 3)","[(1, 1, 3), (0, 0, 0, 0)]"
"(24, 3)","[(2, 1, 1), (0, 0, 0, 0)]"
"(21, 4)","[(1, 1, 1), (0, 0, 0, 0)]"
"(10, 5)","[(5, 1, 2), (0, 0, 0, 0)]"
"(8, 5)","[(0, 1, 2), (0, 0, 0, 0)]"
"(11, 6)","[(1, 1, 3), (0, 0, 0, 0)]"
"(13, 6)","[(1, 1, 3), (0, 0, 0, 0)]"
"(9, 6)","[(1, 1, 1), (0, 0, 0, 0)]"
"(1, 7)","[(1, 1, 1), (0, 0, 0, 0)]"
"(2, 8)","[(1, 1, 1), (0, 0, 0, 0)]"
"(20, 9)","[(0, 1, 2), (0, 0, 0, 0)]"
"(1, 10)","[(1, 1, 1), (0, 0, 0, 0)]"
"(17, 11)","[(2, 1, 3), (0, 0, 0, 0)]"
"(28, 12)","[(1, 1, 3), (0, 0, 0, 0)]"
"(5, 12)","[(0, 1, 2), (0, 0, 0, 0)]"
"(5, 13)","[(1, 1, 1), (0, 0, 0, 0)]"
"(6, 13)","[(1, 1, 1), (0, 0, 0, 0)]"
"(7, 13)","[(0, 1, 2), (0, 0, 0, 0)]"
"(19, 14)","[(1, 1, 1), (0, 0, 0, 0)]"
"(17, 15)","[(0, 1, 2), (0, 0, 0, 0)]"
"(11, 16)","[(1, 1, 3), (0, 0, 0, 0)]"
"(19, 17)","[(0, 1, 2), (0, 0, 0, 0)]"
"(20, 17)","[(0, 1, 2), (0, 0, 0, 0)]"
"(21, 17)","[(1, 1, 1), (0, 0, 0, 0)]"
"(27, 17)","[(2, 1, 1), (0, 0, 0, 0)]"
"(23, 18)","[(1, 1, 3), (0, 0, 0, 0)]"
"(20, 19)","[(0, 1, 2), (0, 0, 0, 0)]"
"(15, 20)","[(2, 1, 2), (0, 0, 0, 0)]"
"(16, 20)","[(1, 1, 3), (0, 0, 0, 0)]"
"(2, 21)","[(1, 1, 1), (0, 0, 0, 0)]"
"(3, 21)","[(1, 1, 1), (0, 0, 0, 0)]"
"(18, 22)","[(1, 1, 1), (0, 0, 0, 0)]"
"(23, 22)","[(5, 1, 5), (0, 0, 0, 0)]"
"(25, 22)","[(1, 1, 3), (0, 0, 0, 0)]"
"(25, 23)","[(1, 1, 1), (0, 0, 0, 0)]"
"(26, 23)","[(0, 1, 2), (0, 0, 0, 0)]"
"(13, 24)","[(1, 1, 3), (0, 0, 0, 0)]"
"(15, 24)","[(3, 1, 3), (0, 0, 0, 0)]"
"(13, 25)","[(1, 1, 1), (0, 0, 0, 0)]"
"(14, 25)","[(1, 1, 2), (0, 0, 0, 0)]"
"(20, 26)","[(0, 1, 2), (0, 0, 0, 0)]"
"(11, 27)","[(1, 1, 3), (0, 0, 0, 0)]"
"(24, 28)","[(3, 1, 1), (0, 0, 0, 0)]"
"(14, 29)","[(3, 1, 1), (0, 0, 0, 0)]"
"(26, 30)","[(1, 1, 3), (0, 0, 0, 0)]"
"(16, 31)","[(1, 1, 1), (0, 0, 0, 0)]"
"(18, 31)","[(1, 1, 1), (0, 0, 0, 0)]"
"(27, 31)","[(2, 1, 2), (0, 0, 0, 0)]"
"(28, 32)","[(0, 1, 2), (0, 0, 0, 0)]"
"(16, 33)","[(1, 1, 3), (0, 0, 0, 0)]"
"(17, 33)","[(3, 1, 4), (0, 0, 0, 0)]"
"(19, 33)","[(1, 1, 3), (0, 0, 0, 0)]"
"(6, 34)","[(1, 1, 1), (0, 0, 0, 0)]"
"(9, 34)","[(1, 1, 1), (0, 0, 0, 0)]"
"(12, 35)","[(1, 1, 1), (0, 0, 0, 0)]"
"(16, 36)","[(1, 1, 3), (0, 0, 0, 0)]"
"(28, 37)","[(1, 1, 1), (0, 0, 0, 0)]"
"(7, 37)","[(0, 1, 1), (0, 0, 0, 0)]"
"(8, 37)","[(1, 1, 1), (0, 0, 0, 0)]"
"(6, 38)","[(1, 1, 1), (0, 0, 0, 0)]"
"(3, 39)","[(1, 1, 2), (0, 0, 0, 0)]"
"(4, 39)","[(3, 1, 1), (0, 0, 0, 0)]"
"(5, 39)","[(1, 1, 2), (0, 0, 0, 0)]"
"(14, 40)","[(2, 1, 2), (0, 0, 0, 0)]"
"(24, 41)","[(3, 1, 2), (0, 0, 0, 0)]"
"(11, 42)","[(2, 1, 3), (0, 0, 0, 0)]"
"(12, 42)","[(1, 1, 2), (0, 0, 0, 0)]"
"(4, 43)","[(1, 1, 4), (0, 0, 0, 0)]"
"(8, 44)","[(0, 1, 2), (0, 0, 0, 0)]"
"(3, 45)","[(1, 1, 3), (0, 0, 0, 0)]"
"(5, 46)","[(1, 1, 1), (0, 0, 0, 0)]"
"(9, 46)","[(0, 1, 3), (0, 0, 0, 0)]"
"(25, 47)","[(1, 1, 3), (0, 0, 0, 0)]"
