,station,mean_temp,mean_wind_speed
0,0,3.5,2.9
0,0,3.5,2.9
0,1,3.5,2.9
0,2,4.2,2.5
0,2,4.2,2.5
0,3,3.6,3.1
0,3,3.6,3.1
0,4,4.6,3.2
0,5,4.4,3.7
0,5,4.4,3.7
0,6,4.1,3.2
0,6,4.1,3.2
0,6,4.1,3.2
0,7,4.4,6.2
0,8,3.4,2.7
0,9,4.1,3.0
0,10,3.7,4.2
0,11,3.3,2.6
0,12,2.9,2.9
0,12,2.9,2.9
0,13,3.3,2.6
0,13,3.3,2.6
0,13,3.3,2.6
0,14,3.5,2.3
0,15,4.5,2.8
0,16,3.9,2.9
0,17,4.7,2.6
0,17,4.7,2.6
0,17,4.7,2.6
0,17,4.7,2.6
0,18,3.3,2.3
0,19,4.7,2.6
0,20,4.2,3.1
0,20,4.2,3.1
0,21,3.8,2.6
0,21,3.8,2.6
0,22,2.7,2.2
0,22,2.7,2.2
0,22,2.7,2.2
0,23,3.6,2.9
0,23,3.6,2.9
0,24,4.5,3.1
0,24,4.5,3.1
0,25,4.0,2.3
0,25,4.0,2.3
0,26,4.1,2.3
0,27,3.8,3.0
0,28,3.8,3.6
0,29,4.1,2.2
0,30,4.0,3.5
0,31,3.0,2.2
0,31,3.0,2.2
0,31,3.0,2.2
0,32,4.7,3.7
0,33,3.1,2.4
0,33,3.1,2.4
0,33,3.1,2.4
0,34,3.7,2.1
0,34,3.7,2.1
0,35,4.8,3.6
0,36,3.7,2.5
0,37,3.9,3.0
0,37,3.9,3.0
0,37,3.9,3.0
0,38,3.5,2.4
0,39,3.8,3.2
0,39,3.8,3.2
0,39,3.8,3.2
0,40,4.4,2.1
0,41,3.8,3.0
0,42,3.9,3.0
0,42,3.9,3.0
0,43,3.9,3.5
0,44,4.2,3.3
0,45,3.4,2.6
0,46,3.4,2.1
0,46,3.4,2.1
0,47,3.8,2.9
0,0,0.6,9.3
0,0,0.6,9.3
0,1,0.6,9.3
0,2,-0.2,9.6
0,2,-0.2,9.6
0,3,0.9,9.5
0,3,0.9,9.5
0,4,-1.7,10.3
0,5,1.2,10.0
0,5,1.2,10.0
0,6,0.4,8.9
0,6,0.4,8.9
0,6,0.4,8.9
0,7,0.3,14.0
0,8,-0.2,8.3
0,9,-1.4,6.9
0,10,0.4,10.4
0,11,-1.2,10.0
0,12,0.3,9.5
0,12,0.3,9.5
0,13,0.3,8.7
0,13,0.3,8.7
0,13,0.3,8.7
0,14,-1.5,9.8
0,15,-0.5,7.9
0,16,0.6,9.1
0,17,-1.6,9.5
0,17,-1.6,9.5
0,17,-1.6,9.5
0,17,-1.6,9.5
0,18,-1.3,9.7
0,19,-1.6,9.5
0,20,-0.5,10.6
0,20,-0.5,10.6
0,21,-0.4,8.1
0,21,-0.4,8.1
0,22,-1.3,9.6
0,22,-1.3,9.6
0,22,-1.3,9.6
0,23,-0.9,10.5
0,23,-0.9,10.5
0,24,-0.2,10.2
0,24,-0.2,10.2
0,25,0.1,9.0
0,25,0.1,9.0
0,26,-1.7,7.9
0,27,1.2,10.3
0,28,1.1,9.5
0,29,0.0,7.7
0,30,-0.9,10.3
0,31,-1.2,9.5
0,31,-1.2,9.5
0,31,-1.2,9.5
0,32,1.3,12.4
0,33,-1.5,10.2
0,33,-1.5,10.2
0,33,-1.5,10.2
0,34,-0.1,8.7
0,34,-0.1,8.7
0,35,1.2,13.0
0,36,-0.7,9.7
0,37,0.9,10.0
0,37,0.9,10.0
0,37,0.9,10.0
0,38,0.0,8.5
0,39,0.6,10.4
0,39,0.6,10.4
0,39,0.6,10.4
0,40,-0.1,8.8
0,41,1.2,10.4
0,42,1.3,10.3
0,42,1.3,10.3
0,43,0.8,10.3
0,44,1.0,9.9
0,45,-0.1,8.5
0,46,0.4,9.2
0,46,0.4,9.2
0,47,-0.5,11.5
0,0,-2.1,10.2
0,0,-2.1,10.2
0,1,-2.1,10.2
0,2,-2.4,10.6
0,2,-2.4,10.6
0,3,-3.7,10.7
0,3,-3.7,10.7
0,4,-2.9,10.8
0,5,-3.4,11.6
0,5,-3.4,11.6
0,6,-3.7,9.6
0,6,-3.7,9.6
0,6,-3.7,9.6
0,7,-1.6,14.4
0,8,-3.1,9.4
0,9,-3.8,7.1
0,10,-2.0,10.9
0,11,-2.8,10.4
0,12,-2.9,11.3
0,12,-2.9,11.3
0,13,-3.0,9.7
0,13,-3.0,9.7
0,13,-3.0,9.7
0,14,-3.0,10.6
0,15,-2.8,8.4
0,16,-3.8,9.8
0,17,-3.0,9.4
0,17,-3.0,9.4
0,17,-3.0,9.4
0,17,-3.0,9.4
0,18,-3.0,10.3
0,19,-3.0,9.4
0,20,-3.6,11.1
0,20,-3.6,11.1
0,21,-2.9,9.3
0,21,-2.9,9.3
0,22,-4.1,10.1
0,22,-4.1,10.1
0,22,-4.1,10.1
0,23,-4.7,11.2
0,23,-4.7,11.2
0,24,-3.7,10.9
0,24,-3.7,10.9
0,25,-3.5,9.9
0,25,-3.5,9.9
0,26,-3.8,7.9
0,27,-3.6,11.6
0,28,-3.3,11.1
0,29,-3.7,8.1
0,30,-5.6,10.9
0,31,-3.5,9.7
0,31,-3.5,9.7
0,31,-3.5,9.7
0,32,-2.5,14.2
0,33,-3.0,11.3
0,33,-3.0,11.3
0,33,-3.0,11.3
0,34,-2.7,9.8
0,34,-2.7,9.8
0,35,-3.2,14.5
0,36,-3.7,9.5
0,37,-3.1,11.2
0,37,-3.1,11.2
0,37,-3.1,11.2
0,38,-2.9,9.5
0,39,-2.6,12.3
0,39,-2.6,12.3
0,39,-2.6,12.3
0,40,-4.8,9.1
0,41,-3.6,11.7
0,42,-3.6,11.6
0,42,-3.6,11.6
0,43,-2.3,12.5
0,44,-3.5,11.2
0,45,-3.0,9.6
0,46,-3.2,10.1
0,46,-3.2,10.1
0,47,-3.9,12.4
0,0,-1.8,8.5
0,0,-1.8,8.5
0,1,-1.8,8.5
0,2,-2.0,9.3
0,2,-2.0,9.3
0,3,-3.0,9.0
0,3,-3.0,9.0
0,4,-2.2,8.4
0,5,-2.9,9.3
0,5,-2.9,9.3
0,6,-2.7,7.6
0,6,-2.7,7.6
0,6,-2.7,7.6
0,7,-1.8,12.1
0,8,-2.8,7.8
0,9,-2.5,6.3
0,10,-1.9,9.2
