Navn;Definition;Attainable;Importance;Cat/Num;Datatype;Min;Max;Mean;Std
togpunktlighed;;;;Numerical;float;0;1;0,8215914031868276;0,23872437829744472
koreplan_antal_planlagte_unik_tognr_togpkt_myldretid;;;;Numerical;int;0;163;15,861782136518155;22,46299781066227
koreplan_antal_planlagte_prod_kode_myldretid;;;;Numerical;int;0;16;2,295729169800347;2,598718341946046
koreplan_stdafv_antal_unik_prod_kode_per_time_myldretid;;;;Numerical;float;0;2,66;0,2916636081946993;0,37870208667170335
koreplan_antal_planlagte_unik_tognr_alle_myldretid;;;;Numerical;int;0;186;18,283891379120163;25,067109983786935
koreplan_stdafv_antal_unik_tognr_alle_per_time_myldretid;;;;Numerical;float;0;7,39;0,47136483058070855;0,5923847745540526
koreplan_antal_planlagte_unik_tognr_alle_g_meld_myldretid;;;;Numerical;int;0;38;1,4648376001524221;4,091541274471186
koreplan_antal_planlagte_togfoelge_under_5_min_myldretid;;;;Numerical;int;0;108;3,2452142434543685;11,783937853746005
koreplan_gns_planlagte_togfoelg_alle_min_myldretid;;;;Numerical;float;0;660;52,543512329151746;63,66936560447211
koreplan_stdafv_planlagte_togfoelg_alle_min_myldretid;;;;Numerical;float;0;412,6;79,43487064167746;65,21744356739023
koreplan_antal_planlagte_unik_tognr_godstog_myldretid;;;;Numerical;int;0;20;0,7792986572806675;2,2687064258140635
koreplan_gns_planlagte_holdetid_min_myldretid;;;;Numerical;float;0;64,445;2,015793096878353;2,5245755043764313
koreplan_stdafv_planlagte_holdetid_min_myldretid;;;;Numerical;float;0;75,69333333333333;1,1832253676015896;2,029530560500491
koreplan_antal_planlagte_unik_tognr_togpkt_ikke_myldretid;;;;Numerical;int;0;403;43,60716685218054;47,875359774445144
koreplan_antal_planlagte_prod_kode_ikke_myldretid;;;;Numerical;int;0;21;4,37244667729611;3,651322973916873
koreplan_stdafv_antal_unik_prod_kode_per_time_ikke_myldretid;;;;Numerical;float;0;3,32;0,9379663166972512;0,586655888343425
koreplan_antal_planlagte_unik_tognr_alle_ikke_myldretid;;;;Numerical;int;0;429;52,73717196634678;57,318465224453725
koreplan_stdafv_antal_unik_tognr_alle_per_time_ikke_myldretid;;;;Numerical;float;0;12,45;1,6843867011622191;1,654128926386364
koreplan_antal_planlagte_unik_tognr_alle_g_meld_ikke_myldretid;;;;Numerical;int;0;114;5,393128967239253;11,547529663064074
koreplan_antal_planlagte_togfoelge_under_5_min_ikke_myldretid;;;;Numerical;int;0;220;7,215862940344755;22,03720180615514
koreplan_gns_planlagte_togfoelg_alle_min_ikke_myldretid;;;;Numerical;float;0;1145;58,65287777142685;40,34161270555998
koreplan_stdafv_planlagte_togfoelg_alle_min_ikke_myldretid;;;;Numerical;float;0;579,85;53,41554430773244;33,75522929229628
koreplan_antal_planlagte_unik_tognr_godstog_ikke_myldretid;;;;Numerical;int;0;52;3,553588439978741;8,051084967142856
koreplan_gns_planlagte_holdetid_min_ikke_myldretid;;;;Numerical;float;0;120,755;3,178472635868021;4,875072873949416
koreplan_stdafv_planlagte_holdetid_min_ikke_myldretid;;;;Numerical;float;0;197,305;1,845486898709425;3,1825032429023676
degree;;;;Numerical;float;0,003968253968253968;0,01984126984126984;0,010734635734635734;0,0038708622806917685
betweenness;;;;Numerical;float;0;0,5209953835451843;0,1855575256969679;0,1681588253255957
harmonic;;;;Numerical;float;9,697339933510122;25,295233314358093;20,025103037337313;4,141041235612579
access;;;;Numerical;float;1209,8637646898837;2072,19223920245;1599,1294643137562;219,49218357409305
target_entropy;;;;Numerical;float;0;1,5636908924886757;0,7450833327641249;0,4946461570332585
road_entropy;;;;Numerical;float;0;2,153206868382849;1,2283776485025355;0,5049993281686203
outlook_hverdag_weekend_helligdag;;;;Numerical;int;0;1;0,32381697301525225;0,4679323015637138
outlook_ferieperiode;;;;Numerical;int;0;1;0,11771607352366054;0,3222724317993771
ap_antal_sporskifte;;;;Numerical;int;0;368;112,08823942320227;100,26964798369072
ap_antal_spor_vaegtet;;;;Numerical;float;0;2,75;1,4983024477803515;0,541757760795182
ap_koerestroem_paa_straekning;;;;Numerical;int;0;1;0,3443037213080232;0,4751418743237987
ap_antal_station;;;;Numerical;int;0;21;9,4907644174363;4,300025907896183
ap_vekselspor_paa_straekning;;;;Numerical;int;0;1;0,1831072069632883;0,38675535897691676
